Animal ID,ID,group,nerve_term,n_perim,poly-in,blebs,tsc_a,tsc_p,tsc_no,achr_a,achr_p,ep_a,ep_p,ep_d,synaptic,overlap,coverage_area,coverage
221,337,1mo_ko,201.963,175.114,1,0,259.667,116.635,2,201.626,150.65,342.004,82.643,33.765,165.688,82.17590985,171.931,85.27223672
221,338,1mo_ko,224.134,257.304,0,0,327.879,205.134,2,268.302,234.495,475.626,90.77,31.459,210.868,78.59352521,245.641,91.55392058
221,339,1mo_ko,165.464,152.407,0,0,193.81,149.298,1,254.953,142.159,341.722,79.792,31.499,161.591,63.38070154,187.301,73.46491314
221,340,1mo_ko,189.113,178.758,0,0,169.666,178.729,1,192.327,176.839,358.78,78.099,27.605,170.243,88.51747285,152.609,79.34871339
221,341,1mo_ko,220.838,265.829,0,0,380.864,208.968,3,289.644,279.324,498.864,98.315,37.737,214.74,74.13928823,250.915,86.62875806
221,342,1mo_ko,231.862,297.454,0,0,367.721,207.284,2,307.719,281.877,447.541,91.504,34.402,221.36,71.93575957,288.322,93.69652183
221,343,1mo_ko,134.076,155.086,0,0,206.96,140.98,2,190.697,150.878,291.655,68.703,25.848,129.683,68.0047405,158.232,82.97561052
221,344,1mo_ko,126.597,186.595,0,0,220.373,187.9,1,201.025,188.245,425.79,83.37,28.219,120.366,59.87613481,163.871,81.51772168
202,345,1mo_wt,215.098,364.508,0,0,475.324,316.973,3,328.718,326.285,631.436,112.917,34.74,204.103,62.09060654,271.622,82.63070474
202,346,1mo_wt,199.213,267.758,0,0,348.456,252.851,3,290.491,268.694,472.148,89.303,29.049,188.708,64.9617372,236.358,81.36499926
202,347,1mo_wt,169.052,297.147,0,0,404.772,309.261,3,261.383,290.142,424.685,95.961,37.036,161.513,61.7917003,224.679,85.95777078
202,348,1mo_wt,206.631,319.877,0,0,378.386,267.865,4,280.306,268.326,435.574,91.948,33.79,198.484,70.80975791,250.037,89.20144414
202,349,1mo_wt,131.646,192.458,0,0,224.872,180.222,2,188.793,173.458,304.257,72.803,27.393,126.201,66.84622841,155.818,82.53378038
202,350,1mo_wt,168.082,235.43,0,0,227.518,168.254,3,240.902,223.99,372.243,84.16,30.033,156.988,65.1667483,170.117,70.6166823
202,351,1mo_wt,214.132,318.553,0,0,416.857,299.873,2,330.714,287.332,562.12,98.567,36.163,195.829,59.21400364,284.227,85.94344358
202,352,1mo_wt,169.269,204.283,0,0,282.286,204.65,2,264.573,299.312,456.62,95.163,34.402,165.207,62.44287966,199.066,75.24048183
202,353,1mo_wt,198.47,367.681,0,0,460.039,336.699,4,325.468,370.892,599.38,105.204,37.136,182.377,56.03530915,276.424,84.93123748
202,354,1mo_wt,211.25,289.317,0,0,386.127,287.378,3,344.511,294.553,528.963,94.399,33.655,189.332,54.95673578,258.001,74.88904563
202,355,1mo_wt,157.766,211.651,0,0,214.029,165.522,1,243.506,178.88,396.658,88.423,31.779,144.694,59.42112309,167.891,68.94737707
202,356,1mo_wt,117.267,133.938,0,0,193.267,78.24,2,169.301,129.519,267.087,67.659,25.579,112.782,66.61626334,115.602,68.28193572
202,357,1mo_wt,149.564,175.387,0,0,334.628,171.597,2,217.746,162.904,341.677,82.138,33.981,139.44,64.03791574,179.81,82.57786595
202,358,1mo_wt,202.842,277.689,0,0,347.134,184.733,3,257.621,275.403,423.547,84.027,32.689,183.193,71.10949806,222.292,86.28644404
202,359,1mo_wt,242.537,341.692,0,0,399.134,233.686,3,395.363,265.125,584.114,100.759,36.001,228.247,57.73099658,288.385,72.94182814
202,360,1mo_wt,227.056,322.134,0,0,311.607,214.885,2,345.546,269.968,633.534,98.716,33.33,198.674,57.49567351,226.858,65.65204054
202,361,1mo_wt,218.72,256.934,0,0,397.943,217.152,4,260.4,219.456,415.211,108.472,45.928,192.124,73.78033794,216.735,83.23156682
202,362,1mo_wt,190.933,270.318,0,0,326.691,173.105,2,214.552,195.246,439.425,88.896,34.376,140.719,65.58736344,175.254,81.6836944
202,363,1mo_wt,140.135,194.831,0,0,295.39,159.75,3,185.61,164.92,362.39,80.12,26.43,129.831,69.94827865,153.139,82.50579171
202,364,1mo_wt,80.061,170.266,0,0,278.72,173.17,3,137.67,150.85,269.67,74.89,26.73,73.988,53.74300864,123.983,90.05810997
202,365,1mo_wt,138.227,246.353,0,0,308.18,186.03,2,225.04,229.32,379.05,97.88,33.19,134.202,59.6347316,202.849,90.13908638
202,366,1mo_wt,105.147,185.476,0,0,222.21,154.87,3,125.95,136.13,217.91,69.54,25.19,67.694,53.74672489,85.734,68.069869
202,367,1mo_wt,171.789,231.01,0,0,316.93,265.59,3,215.76,218.19,363.38,78.19,27.11,162.193,75.17287727,170.965,79.23850575
202,368,1mo_wt,100.473,162.195,0,0,225.86,150.09,2,142.59,147.24,262.3160263,77.83048322,31.2513355,94.354,66.17154078,112.471,78.87720036
202,369,1mo_wt,115.872,172.858,0,0,224.19528,159.5255807,3,177.1671119,165.8090901,260.2778874,71.48030872,27.31224709,110.1351119,62.16453535,144.3301119,81.46552165
202,370,1mo_wt,129.082,209.486,0,0,256.6545293,151.4097619,2,208.9469815,175.2609865,323.384707,74.52206574,26.70152028,124.0999815,59.39304823,170.7509815,81.71976464
202,371,1mo_wt,104.549,167.557,0,0,190.075325,133.370653,2,127.2704519,161.6178504,205.7010566,68.63854705,27.82428506,81.9034519,64.35386272,105.3794519,82.79962106
127,372,2mo_ko,57.824,123.486,0,1,424.0981017,208.8626275,3,408.0725794,241.3317479,571.7972459,96.78177315,35.00770531,53.52857939,13.11741638,302.6675794,74.17003609
127,373,2mo_ko,22.964,31.877,0,1,492.3304804,223.4952689,4,333.8925842,190.7063453,550.980588,98.58794951,34.19118415,21.80758419,6.531317323,267.4775842,80.10887239
127,374,2mo_ko,0,0,0,0,772.8597273,275.549272,5,459.783801,331.157855,1007.129734,133.6423284,46.92659187,0,0,380.316801,82.71644198
127,375,2mo_ko,21.147,21.728,0,1,492.0000573,200.8559368,2,433.846,219.308,596.579,100.945,35.644,17.348,3.9986539,296.72,68.39293205
127,376,2mo_ko,39.651,26.425,0,1,637.551451,274.5560201,8,535.946335,273.2908257,772.3640926,112.1287148,35.53233489,0,0,342.483335,63.9025426
